---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-32  D 2C205  D 45A2D  D 6B44E  D 2FF04  D 5F104  F#5F104  A 5F104  D 4F704  D 6F004  F---D  00--------
02-33  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F#4F704  -----00  -----  00--------
02-34  D 3C205  -----00  D 6B44E  D 3FF04  -----00  -----00  -----00  A 4F704  D 6F004  ---FD  00--------
02-35  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F#4F704  -----00  -----  00--------
02-36  C 4E44C  -----00  -----00  D 2FF04  -----00  -----00  -----00  A 4F704  -----00  -FF-D  00--------
02-37  -----00  -----00  -----00  -----00  -----00  -----00  -----00  D 4F704  -----00  -----  00--------
02-38  D 3C205  -----00  C 6B44E  D 3FF04  -----00  -----00  -----00  F#4F704  C 6F004  ----D  00--------
02-39  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 4F704  -----00  -----  00--------
02-40  D 2C205  -----00  D 6B44E  D 2FF04  -----00  -----00  -----00  F#4F704  D 6F004  F---D  00--------
02-41  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 4F704  -----00  -----  00--------
02-42  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  D 4F704  -----00  ---FD  00--------
02-43  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F#4F704  -----00  -----  00--------
02-44  C 4E44C  -----00  E 6B44E  D 2FF04  -----00  -----00  -----00  A 4F704  E 6F004  -FF-D  00--------
02-45  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F#4F704  -----00  -----  00--------
02-46  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  A 4F704  -----00  ----D  00--------
02-47  -----00  -----00  -----00  -----00  -----00  -----00  -----00  D 4F704  -----00  -----  00--------
02-48  G 2C205  G 46A2D  D 6B44E  G 2FF04  G 5F104  B 5F104  D 6F104  G 4F704  D 6F004  F---D  00--------
02-49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  B 4F704  -----00  -----  00--------
02-50  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  D 5F704  -----00  ---FD  00--------
02-51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  B 4F704  -----00  -----  00--------
02-52  C 4E44C  -----00  -----00  G 2FF04  -----00  -----00  -----00  D 5F704  -----00  -FF-D  00--------
02-53  -----00  -----00  -----00  -----00  -----00  -----00  -----00  G 4F704  -----00  -----  00--------
02-54  C 4E44C  -----00  D 5844E  G 3FF04  -----00  -----00  -----00  B 4F704  D 5C004  -FF-D  00--------
02-55  -----00  -----00  E 5944E  -----00  -----00  -----00  -----00  D 5F704  E 5D004  -----  00--------
02-56  C 4E44C  -----00  -----00  G 2FF04  -----00  -----00  -----00  B 4F704  -----00  FFF-D  00--------
02-57  C 4E44C  -----00  D 5944E  -----00  -----00  -----00  -----00  D 5F704  D 5D004  -FF--  00--------
02-58  C 4E44C  -----00  E 5944E  G 3FF04  -----00  -----00  -----00  G 4F704  E 5D004  -FFFD  00--------
