---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-57  C 4F44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
02-58  C 4F44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  -FF-D  00--------
02-59  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-60  C 4F44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  -FF-D  00--------
02-61  C 4F44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
02-62  C 4F44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  -FF-D  00--------
02-63  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
03-00  G 2C205  G 46A2F  A 4C01C  G 2FF04  G 5F104  B 5F104  D 6F104  G 5F704  A 5F004  F---D  0DSYNTHBEL
03-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  B 5F704  -----00  ---D-  00--------
03-02  G 2C205  -----00  -----00  G 2FF04  -----00  -----00  -----00  D 6F704  -----00  ----D  00--------
03-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  G 6F704  -----00  ---D-  00--------
03-04  C 4F44C  -----00  -----00  G 2FF04  -----00  -----00  -----00  B 6F704  -----00  -FF-D  00--------
03-05  -----00  -----00  -----00  -----00  -----00  -----00  -----00  D 7F704  -----00  ---D-  00--------
03-06  G 3C205  G 46A2F  G 4C01C  G 3FF04  -----00  -----00  -----00  B 6F704  G 5F004  ----D  00--------
03-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  G 6F704  -----00  ---D-  00--------
03-08  G 2C205  G 46A2F  -----00  G 2FF04  -----00  -----00  -----00  D 6F704  -----00  F---D  00--------
03-09  G 2C205  -----00  -----00  G 2FF04  -----00  -----00  -----00  B 5F704  -----00  ---D-  00--------
03-10  -----00  -----00  -----00  -----00  -----00  -----00  -----00  G 5F704  -----00  ----D  00--------
03-11  G 2C205  -----00  -----00  G 2FF04  -----00  -----00  -----00  B 5F704  -----00  ---D-  00--------
03-12  C 4F44C  G 46A2F  F#4C01C  G 2FF04  -----00  -----00  -----00  D 6F704  F#5F004  -FF-D  00--------
03-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  G 6F704  -----00  ---D-  00--------
03-14  G 3C205  -----00  E 4C01C  G 3FF04  -----00  -----00  -----00  B 6F704  E 5F004  ----D  00--------
03-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  D 7F704  -----00  ---D-  00--------
03-16  D 2C205  D 45A2F  D 4C01C  D 2FF04  D 5F104  F#5F104  A 5F104  D 5F704  D 5F004  F---D  00--------
03-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F#5F704  -----00  ---D-  00--------
03-18  D 2C205  -----00  -----00  D 2FF04  -----00  -----00  -----00  A 5F704  -----00  ----D  00--------
03-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  D 6F704  -----00  ---D-  00--------
03-20  C 4F44C  -----00  E 4C01C  D 2FF04  -----00  -----00  -----00  F#6F704  E 5F004  -FF-D  00--------
03-21  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 6F704  -----00  ---D-  00--------
03-22  D 3C205  D 45A2F  D 4C01C  D 3FF04  -----00  -----00  -----00  F#6F704  D 5F004  ----D  00--------
03-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  D 6F704  -----00  ---D-  00--------
03-24  D 2C205  D 45A2F  -----00  D 2FF04  -----00  -----00  -----00  A 5F704  -----00  F---D  00--------
03-25  D 2C205  -----00  -----00  D 2FF04  -----00  -----00  -----00  F#5F704  -----00  ---D-  00--------
03-26  -----00  -----00  -----00  -----00  -----00  -----00  -----00  D 5F704  -----00  ----D  00--------
03-27  D 2C205  -----00  -----00  D 2FF04  -----00  -----00  -----00  F#5F704  -----00  ---D-  00--------
03-28  C 4F44C  D 45A2F  B 3C01C  D 2FF04  -----00  -----00  -----00  A 5F704  B 4F004  -FF-D  00--------
03-29  -----00  -----00  -----00  -----00  -----00  -----00  -----00  D 6F704  -----00  ---D-  00--------
03-30  C 4F44C  -----00  C 4C01C  D 3FF04  -----00  -----00  -----00  F#6F704  C 5F004  -FF-D  00--------
03-31  C 4F44C  -----00  -----00  -----00  -----00  -----00  -----00  A 6F704  -----00  -FFD-  00--------
