---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 05-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,74,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-63  -----00  -----00  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
03-00  -----00  D 45A2D  ---B011  -----00  -----00  D 5F104  F#5F104  A 5F104  ---F111  F--DE  00--------
03-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
03-02  C 4D44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
03-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
03-04  -----00  -----00  ---A011  -----00  -----00  -----00  -----00  -----00  ---E111  F--DE  00--------
03-05  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
03-06  C 4D44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
03-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
03-08  -----00  G 46A2D  ---9011  -----00  -----00  G 5F104  B 5F104  D 6F104  ---D111  F--DE  00--------
03-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
03-10  C 4D44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
03-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
03-12  -----00  -----00  ---8011  -----00  -----00  -----00  -----00  -----00  ---C111  F--DE  00--------
03-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
03-14  C 4D44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
03-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
03-16  -----00  D 45A2D  ---7011  -----00  -----00  D 5F104  F#5F104  A 5F104  ---B111  F--DE  00--------
03-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
03-18  C 4D44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
03-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
03-20  -----00  -----00  ---6011  -----00  -----00  -----00  -----00  -----00  ---A111  F--DE  00--------
03-21  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
03-22  C 4D44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
03-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----E  00--------
